Source,Target,Type,Id,Label,timeset,Weight
227657,1687066,Directed,1,,,1
227657,1895348,Directed,2,,,1
227657,15604345,Directed,3,,,1
227657,270477814,Directed,4,,,1
413300,3864197,Directed,5,,,1
413300,3905784,Directed,6,,,1
413300,5349199,Directed,7,,,1
413300,6218698,Directed,8,,,1
413300,31321482,Directed,9,,,1
413300,39207926,Directed,10,,,1
1601280,1990478,Directed,11,,,1
1601280,2583166,Directed,12,,,1
1601280,8837849,Directed,13,,,1
1601280,61819107,Directed,14,,,1
1601280,142929208,Directed,15,,,1
1601280,151521615,Directed,16,,,1
1601280,186301632,Directed,17,,,1
1601280,263420880,Directed,18,,,1
1601280,385370289,Directed,19,,,1
1601280,508267550,Directed,20,,,1
1687066,227657,Directed,21,,,1
1687066,1895348,Directed,22,,,1
1687066,15604345,Directed,23,,,1
1687066,55826326,Directed,24,,,1
1687066,270477814,Directed,25,,,1
1895348,227657,Directed,26,,,1
1895348,1687066,Directed,27,,,1
1895348,15604345,Directed,28,,,1
1895348,55826326,Directed,29,,,1
1895348,270477814,Directed,30,,,1
1990478,1601280,Directed,31,,,1
1990478,4217922,Directed,32,,,1
2058128,54447453,Directed,33,,,1
2459486,7383910,Directed,34,,,1
2459486,7726541,Directed,35,,,1
2459486,24491068,Directed,36,,,1
2459486,92674866,Directed,37,,,1
2459486,142565923,Directed,38,,,1
2459486,164933558,Directed,39,,,1
2459486,246841629,Directed,40,,,1
2517874,4217922,Directed,41,,,1
2583166,1601280,Directed,42,,,1
2699093,9372166,Directed,43,,,1
2699093,9673822,Directed,44,,,1
2699093,10360922,Directed,45,,,1
2699093,15804314,Directed,47,,,1
2699093,53937541,Directed,48,,,1
2699093,112447060,Directed,49,,,1
2833128,9673822,Directed,50,,,1
2833128,53937541,Directed,51,,,1
3363362,3734345,Directed,52,,,1
3363362,5325067,Directed,53,,,1
3363362,6407680,Directed,54,,,1
3363362,6769254,Directed,55,,,1
3363362,7815454,Directed,56,,,1
3363362,9023364,Directed,57,,,1
3363362,9173772,Directed,59,,,1
3363362,10020082,Directed,60,,,1
3363362,13882914,Directed,61,,,1
3363362,19642021,Directed,62,,,1
147112973,562917252,Directed,2152,,,1
3363362,28900519,Directed,64,,,1
3538796,3848664,Directed,65,,,1
3538796,4311406,Directed,66,,,1
3538796,7038577,Directed,67,,,1
3538796,7815454,Directed,68,,,1
3538796,8644937,Directed,69,,,1
3538796,8660003,Directed,70,,,1
3538796,9023364,Directed,71,,,1
3538796,14441649,Directed,73,,,1
3538796,14870878,Directed,74,,,1
3538796,19642021,Directed,75,,,1
57516267,562917252,Directed,2153,,,1
3538796,24032841,Directed,77,,,1
3538796,65225390,Directed,78,,,1
365064968,562917251,Directed,2108,,,1
100374520,562917251,Directed,2097,,,1
3734345,3363362,Directed,81,,,1
3734345,6407680,Directed,82,,,1
3734345,7815454,Directed,83,,,1
3848664,3538796,Directed,84,,,1
3848664,4311406,Directed,85,,,1
3848664,6769254,Directed,86,,,1
3848664,7815454,Directed,87,,,1
45712751,562917252,Directed,2154,,,1
3848664,24032841,Directed,89,,,1
52055451,562917251,Directed,2098,,,1
3848664,307363013,Directed,92,,,1
3864197,413300,Directed,94,,,1
3864197,5349199,Directed,95,,,1
3864197,5751292,Directed,96,,,1
3864197,6111900,Directed,97,,,1
3864197,7066177,Directed,98,,,1
3864197,9433513,Directed,99,,,1
3864197,15731920,Directed,100,,,1
3864197,24337515,Directed,101,,,1
3864197,31321482,Directed,102,,,1
3864197,37265069,Directed,103,,,1
3864197,39207926,Directed,104,,,1
3864197,41269481,Directed,105,,,1
3864197,74613242,Directed,106,,,1
3864197,138282840,Directed,107,,,1
3864197,150562623,Directed,108,,,1
3864197,285604117,Directed,109,,,1
3905784,413300,Directed,110,,,1
3905784,7066177,Directed,111,,,1
4217922,1990478,Directed,112,,,1
4217922,2517874,Directed,113,,,1
4217922,4479411,Directed,114,,,1
4311406,3538796,Directed,115,,,1
